group	ID	Link	nseqs.orig	sobs.orig	coverage	nseqs.norm	sobs.norm	bergerparker	chao	shannon	simpson	ace
802592g	802592	g	49105	197	0.999145	9982	127	0.163294	197.125	3.333395	0.065987	168.763232
802713g	802713	g	46502	348	0.998237	9969	214	0.182767	325.714286	3.458884	0.067328	349.107774
802713p	802713	p	66548	658	0.998152	9930	330	0.183384	470.622222	4.071738	0.049366	572.210636
802925g	802925	g	25367	760	0.995269	10006	640	0.077454	1189.494845	4.370285	0.030112	1822.241106
802925p	802925	p	70326	430	0.999218	9974	248	0.194706	396.529412	3.582727	0.062478	533.975319
803188g	803188	g	44896	426	0.998018	9950	244	0.089347	352.777778	3.765374	0.039622	360.615182
803188s	803188	s	45967	490	0.997716	9957	297	0.162398	465.076923	3.759881	0.050377	564.403081
803243e	803243	e	31834	442	0.997047	10002	348	0.146471	577.5	4.032681	0.045274	704.360217
803243s	803243	s	25051	402	0.997365	9999	336	0.10271	421.865385	4.325202	0.028242	438.45956
803364g	803364	g	40871	493	0.998043	9944	342	0.108307	478.883721	4.16087	0.032181	535.118289
803711e	803711	e	81835	338	0.999316	9965	177	0.113698	276.75	3.567147	0.049284	306.887342
803711g	803711	g	61061	461	0.998935	9953	293	0.064503	435.6	4.313669	0.023116	510.034209
803711s	803711	s	65417	532	0.998685	9963	311	0.081803	500.756757	4.08038	0.030338	582.019173
804026g	804026	g	64826	278	0.998889	9969	143	0.132009	251.1	3.592755	0.048469	302.9737
804208g	804208	g	48318	194	0.999131	9989	125	0.169687	162	3.173388	0.066522	203.842435
804208s	804208	s	95772	350	0.999363	9987	205	0.13077	301.6	3.403939	0.05876	356.28633
804279e	804279	e	84079	523	0.998811	9949	268	0.106644	388.238095	3.758247	0.041337	519.502487
804279s	804279	s	80777	515	0.999158	9948	280	0.157921	433.27027	3.596192	0.058646	547.625117
804300g	804300	g	72541	482	0.998828	9976	310	0.088212	433.243243	4.273431	0.027258	494.347294
804375g	804375	g	48976	499	0.998305	9970	335	0.179739	488.4	3.83965	0.059215	588.12625
804539g	804539	g	55904	285	0.999302	9988	193	0.145174	287.666667	3.417166	0.057558	387.496285
804590p	804590	p	41082	110	0.999538	9986	74	0.338774	95.857143	2.255927	0.173523	90.250892
804979g	804979	g	44966	452	0.997976	9945	282	0.293615	369.073171	3.574823	0.101288	380.986419
805077g	805077	g	77064	394	0.999221	9982	235	0.441194	361.034483	2.876339	0.212813	478.229361
