OTU	Domain	Phylum	Class	Order	Family	Genus	Species
Otu03749	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
Otu03750	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified
Otu03751	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified
Otu03752	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified
Otu03753	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified
Otu03754	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified
Otu03755	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03756	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	unclassified
Otu03757	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unclassified
Otu03758	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	unclassified
Otu03759	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified
Otu03760	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	unclassified
Otu03761	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	unclassified
Otu03762	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified
Otu03763	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified
Otu03764	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii
Otu03765	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Mitsuokella	multacida
Otu03766	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified
Otu03767	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	unclassified
Otu03768	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03769	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03770	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Barnesiellaceae]	unclassified	unclassified
